epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.56E+12,2019-06-26T11:48:09.005,1772.983,-0.048,-0.101,-0.002
1.56E+12,2019-06-26T11:48:09.015,1772.993,0,-0.051,-0.077
1.56E+12,2019-06-26T11:48:09.025,1773.003,0.037,0.05,0.075
1.56E+12,2019-06-26T11:48:09.034,1773.012,-0.053,-0.053,-0.084
1.56E+12,2019-06-26T11:48:09.044,1773.022,-0.035,-0.05,-0.109
1.56E+12,2019-06-26T11:48:09.053,1773.031,0.035,-0.006,-0.08
1.56E+12,2019-06-26T11:48:09.063,1773.041,-0.007,0.033,0.079
1.56E+12,2019-06-26T11:48:09.074,1773.052,-0.038,-0.091,-0.176
1.56E+12,2019-06-26T11:48:09.084,1773.062,0.003,-0.083,-0.024
1.56E+12,2019-06-26T11:48:09.093,1773.071,0.017,0.041,-0.082
1.56E+12,2019-06-26T11:48:09.104,1773.082,-0.032,0.105,0.028
1.56E+12,2019-06-26T11:48:09.113,1773.091,-0.014,-0.088,-0.197
1.56E+12,2019-06-26T11:48:09.124,1773.102,-0.014,0.047,0.087
1.56E+12,2019-06-26T11:48:09.132,1773.11,0.007,0.011,0.232
1.56E+12,2019-06-26T11:48:09.143,1773.121,0.001,-0.016,0.278
1.56E+12,2019-06-26T11:48:09.153,1773.131,-0.047,-0.016,-0.017
1.56E+12,2019-06-26T11:48:09.163,1773.141,0.048,0.183,0.331
1.56E+12,2019-06-26T11:48:09.172,1773.15,-0.025,-0.01,0.102
1.56E+12,2019-06-26T11:48:09.182,1773.16,-0.047,-0.045,0.078
1.56E+12,2019-06-26T11:48:09.192,1773.17,0.018,-0.05,0.221
1.56E+12,2019-06-26T11:48:09.203,1773.181,0.011,0.098,0.325
1.56E+12,2019-06-26T11:48:09.211,1773.189,-0.064,-0.249,0.279
1.56E+12,2019-06-26T11:48:09.222,1773.2,0.037,-0.195,0.63
1.56E+12,2019-06-26T11:48:09.232,1773.21,0.022,-0.053,0.401
1.56E+12,2019-06-26T11:48:09.242,1773.22,-0.008,0.099,0.552
1.56E+12,2019-06-26T11:48:09.251,1773.229,-0.075,-0.013,0.082
1.56E+12,2019-06-26T11:48:09.261,1773.239,0.051,0.026,0.446
1.56E+12,2019-06-26T11:48:09.271,1773.249,0.043,-0.011,0.587
1.56E+12,2019-06-26T11:48:09.282,1773.26,-0.03,-0.089,0.075
1.56E+12,2019-06-26T11:48:09.290,1773.268,-0.053,-0.16,-0.195
1.56E+12,2019-06-26T11:48:09.301,1773.279,0.031,0.129,0.072
1.56E+12,2019-06-26T11:48:09.311,1773.289,0.01,0.128,0.042
1.56E+12,2019-06-26T11:48:09.320,1773.298,-0.038,0.042,-0.033
1.56E+12,2019-06-26T11:48:09.330,1773.308,-0.005,-0.019,-0.056
1.56E+12,2019-06-26T11:48:09.340,1773.318,0.043,0.134,-0.184
1.56E+12,2019-06-26T11:48:09.351,1773.329,-0.016,-0.001,-0.193
1.56E+12,2019-06-26T11:48:09.359,1773.337,0.001,0.011,-0.28
1.56E+12,2019-06-26T11:48:09.370,1773.348,0.021,0.007,-0.228
1.56E+12,2019-06-26T11:48:09.380,1773.358,0.03,0.103,-0.095
1.56E+12,2019-06-26T11:48:09.390,1773.368,-0.022,-0.031,-0.096
1.56E+12,2019-06-26T11:48:09.399,1773.377,-0.027,-0.052,-0.153
1.56E+12,2019-06-26T11:48:09.409,1773.387,0.02,0.013,0.149
1.56E+12,2019-06-26T11:48:09.419,1773.397,-0.002,0.03,0.296
1.56E+12,2019-06-26T11:48:09.430,1773.408,-0.016,-0.059,0.197
1.56E+12,2019-06-26T11:48:09.438,1773.416,-0.01,0.017,0.157
1.56E+12,2019-06-26T11:48:09.449,1773.427,0.083,0.071,0.525
1.56E+12,2019-06-26T11:48:09.459,1773.437,0.006,0.037,0.341
1.56E+12,2019-06-26T11:48:09.469,1773.447,0,-0.06,0.432
1.56E+12,2019-06-26T11:48:09.478,1773.456,0.081,-0.011,0.815
1.56E+12,2019-06-26T11:48:09.488,1773.466,0,-0.128,0.506
1.56E+12,2019-06-26T11:48:09.499,1773.477,-0.012,-0.17,0.493
1.56E+12,2019-06-26T11:48:09.509,1773.487,0.069,-0.052,0.801
1.56E+12,2019-06-26T11:48:09.518,1773.496,0.081,0.044,0.658
1.56E+12,2019-06-26T11:48:09.528,1773.506,-0.005,-0.086,0.573
1.56E+12,2019-06-26T11:48:09.538,1773.516,-0.013,-0.167,0.121
1.56E+12,2019-06-26T11:48:09.548,1773.526,0.045,-0.002,0.219
1.56E+12,2019-06-26T11:48:09.557,1773.535,0.054,0.07,0.183
1.56E+12,2019-06-26T11:48:09.567,1773.545,-0.029,-0.042,0.085
1.56E+12,2019-06-26T11:48:09.578,1773.556,-0.013,-0.08,-0.232
1.56E+12,2019-06-26T11:48:09.588,1773.566,0.065,0.092,0.053
1.56E+12,2019-06-26T11:48:09.597,1773.575,0.05,-0.047,0.045
1.56E+12,2019-06-26T11:48:09.607,1773.585,-0.016,-0.075,0.045
1.56E+12,2019-06-26T11:48:09.617,1773.595,0.03,-0.051,-0.171
1.56E+12,2019-06-26T11:48:09.626,1773.604,0.027,0.108,-0.132
1.56E+12,2019-06-26T11:48:09.636,1773.614,0.009,-0.042,-0.285
1.56E+12,2019-06-26T11:48:09.646,1773.624,-0.02,-0.012,-0.172
1.56E+12,2019-06-26T11:48:09.657,1773.635,0.051,-0.019,-0.175
1.56E+12,2019-06-26T11:48:09.667,1773.645,0.024,0.057,-0.028
1.56E+12,2019-06-26T11:48:09.676,1773.654,-0.032,-0.152,-0.19
1.56E+12,2019-06-26T11:48:09.686,1773.664,0.006,-0.044,-0.087
1.56E+12,2019-06-26T11:48:09.696,1773.674,0.036,-0.036,-0.086
1.56E+12,2019-06-26T11:48:09.705,1773.683,-0.012,0.008,-0.065
1.56E+12,2019-06-26T11:48:09.715,1773.693,-0.009,-0.17,-0.253
1.56E+12,2019-06-26T11:48:09.726,1773.704,0.051,0.069,-0.217
1.56E+12,2019-06-26T11:48:09.736,1773.714,0.018,0.039,-0.221
1.56E+12,2019-06-26T11:48:09.746,1773.724,0.025,0.056,-0.196
1.56E+12,2019-06-26T11:48:09.755,1773.733,-0.009,-0.027,-0.318
1.56E+12,2019-06-26T11:48:09.765,1773.743,0.066,0.173,-0.153
1.56E+12,2019-06-26T11:48:09.775,1773.753,-0.016,0.034,-0.263
1.56E+12,2019-06-26T11:48:09.784,1773.762,-0.019,0.045,-0.397
1.56E+12,2019-06-26T11:48:09.794,1773.772,-0.006,0,-0.481
1.56E+12,2019-06-26T11:48:09.805,1773.783,0.054,0.144,-0.379
1.56E+12,2019-06-26T11:48:09.813,1773.791,-0.05,-0.016,-0.491
1.56E+12,2019-06-26T11:48:09.825,1773.803,0.016,0.025,-0.42
1.56E+12,2019-06-26T11:48:09.834,1773.812,0.028,0.055,-0.357
1.56E+12,2019-06-26T11:48:09.844,1773.822,0.014,0.109,-0.214
1.56E+12,2019-06-26T11:48:09.853,1773.831,-0.063,-0.041,-0.302
1.56E+12,2019-06-26T11:48:09.863,1773.841,0,0.072,-0.192
1.56E+12,2019-06-26T11:48:09.874,1773.852,0.029,0.075,0.005
1.56E+12,2019-06-26T11:48:09.884,1773.862,-0.029,-0.001,0.156
1.56E+12,2019-06-26T11:48:09.893,1773.871,0.002,-0.105,0.27
1.56E+12,2019-06-26T11:48:09.903,1773.881,-0.002,0.149,-0.142
1.56E+12,2019-06-26T11:48:09.913,1773.891,0.008,0.149,0.103
1.56E+12,2019-06-26T11:48:09.923,1773.901,-0.048,-0.168,0.132
1.56E+12,2019-06-26T11:48:09.932,1773.91,0.018,-0.221,0.139
1.56E+12,2019-06-26T11:48:09.942,1773.92,0.022,0.156,-0.025
1.56E+12,2019-06-26T11:48:09.953,1773.931,-0.047,0.104,-0.267
1.56E+12,2019-06-26T11:48:09.963,1773.941,-0.088,-0.007,-0.266
1.56E+12,2019-06-26T11:48:09.972,1773.95,0.046,0.077,0.273
1.56E+12,2019-06-26T11:48:09.982,1773.96,0.036,0.188,0.15
1.56E+12,2019-06-26T11:48:09.992,1773.97,-0.04,0.008,-0.093
1.56E+12,2019-06-26T11:48:10.002,1773.98,-0.013,-0.019,-0.241
1.56E+12,2019-06-26T11:48:10.011,1773.989,0.022,0.009,0.148
1.56E+12,2019-06-26T11:48:10.021,1773.999,-0.001,-0.046,0.336
1.56E+12,2019-06-26T11:48:10.032,1774.01,-0.029,-0.106,0.488
1.56E+12,2019-06-26T11:48:10.042,1774.02,0.007,-0.086,0.373
1.56E+12,2019-06-26T11:48:10.051,1774.029,-0.027,0.156,0.178
1.56E+12,2019-06-26T11:48:10.061,1774.039,-0.075,0.035,0.002
1.56E+12,2019-06-26T11:48:10.071,1774.049,0.01,0.009,0.334
1.56E+12,2019-06-26T11:48:10.080,1774.058,0.044,0.015,0.005
1.56E+12,2019-06-26T11:48:10.090,1774.068,-0.038,0.123,-0.271
1.56E+12,2019-06-26T11:48:10.101,1774.079,-0.044,0.012,-0.394
1.56E+12,2019-06-26T11:48:10.111,1774.089,0.001,0.11,-0.262
1.56E+12,2019-06-26T11:48:10.120,1774.098,0.029,0.103,-0.226
1.56E+12,2019-06-26T11:48:10.130,1774.108,-0.02,0.096,-0.193
1.56E+12,2019-06-26T11:48:10.140,1774.118,-0.036,-0.067,-0.472
1.56E+12,2019-06-26T11:48:10.150,1774.128,0.035,0.108,-0.308
1.56E+12,2019-06-26T11:48:10.159,1774.137,0.008,0.113,-0.308
1.56E+12,2019-06-26T11:48:10.169,1774.147,-0.009,0.136,-0.303
1.56E+12,2019-06-26T11:48:10.180,1774.158,-0.039,-0.009,-0.414
1.56E+12,2019-06-26T11:48:10.190,1774.168,0.03,0.16,-0.298
1.56E+12,2019-06-26T11:48:10.199,1774.177,-0.053,-0.013,-0.329
1.56E+12,2019-06-26T11:48:10.209,1774.187,-0.049,-0.02,-0.265
1.56E+12,2019-06-26T11:48:10.219,1774.197,-0.049,-0.102,-0.269
1.56E+12,2019-06-26T11:48:10.229,1774.207,0.028,0.088,-0.001
1.56E+12,2019-06-26T11:48:10.238,1774.216,-0.036,-0.079,0.018
1.56E+12,2019-06-26T11:48:10.249,1774.227,0.001,-0.079,0.23
1.56E+12,2019-06-26T11:48:10.259,1774.237,0.026,-0.077,0.322
1.56E+12,2019-06-26T11:48:10.269,1774.247,0.024,0.037,0.277
1.56E+12,2019-06-26T11:48:10.278,1774.256,-0.062,-0.132,0.029
1.56E+12,2019-06-26T11:48:10.288,1774.266,-0.005,0.066,-0.051
1.56E+12,2019-06-26T11:48:10.298,1774.276,0.01,0.13,0.188
1.56E+12,2019-06-26T11:48:10.307,1774.285,0.029,0.043,0.501
1.56E+12,2019-06-26T11:48:10.317,1774.295,-0.022,-0.114,0.235
1.56E+12,2019-06-26T11:48:10.328,1774.306,-0.043,0.014,-0.017
1.56E+12,2019-06-26T11:48:10.338,1774.316,0.013,-0.011,0.158
1.56E+12,2019-06-26T11:48:10.347,1774.325,-0.056,-0.013,0.219
1.56E+12,2019-06-26T11:48:10.357,1774.335,-0.023,-0.035,0.16
1.56E+12,2019-06-26T11:48:10.367,1774.345,0.02,0.067,0.237
1.56E+12,2019-06-26T11:48:10.377,1774.355,-0.026,-0.004,0.267
1.56E+12,2019-06-26T11:48:10.386,1774.364,-0.057,-0.093,0.217
1.56E+12,2019-06-26T11:48:10.396,1774.374,0.02,-0.121,0.432
1.56E+12,2019-06-26T11:48:10.407,1774.385,0.007,0.02,0.444
1.56E+12,2019-06-26T11:48:10.417,1774.395,-0.027,-0.091,0.429
1.56E+12,2019-06-26T11:48:10.426,1774.404,-0.04,-0.188,0.298
1.56E+12,2019-06-26T11:48:10.436,1774.414,0.024,-0.103,0.322
1.56E+12,2019-06-26T11:48:10.446,1774.424,-0.03,0.027,0.116
1.56E+12,2019-06-26T11:48:10.457,1774.435,-0.026,-0.11,0.229
1.56E+12,2019-06-26T11:48:10.467,1774.445,0.002,-0.076,0.077
1.56E+12,2019-06-26T11:48:10.476,1774.454,0.035,0.032,0.221
1.56E+12,2019-06-26T11:48:10.486,1774.464,-0.009,-0.022,-0.007
1.56E+12,2019-06-26T11:48:10.496,1774.474,-0.054,-0.008,-0.023
1.56E+12,2019-06-26T11:48:10.505,1774.483,0.034,0.002,0.056
1.56E+12,2019-06-26T11:48:10.515,1774.493,0.035,0.114,0.328
1.56E+12,2019-06-26T11:48:10.525,1774.503,0.034,-0.047,0.259
1.56E+12,2019-06-26T11:48:10.536,1774.514,-0.001,-0.039,0.397
1.56E+12,2019-06-26T11:48:10.546,1774.524,0.056,0.06,0.26
1.56E+12,2019-06-26T11:48:10.555,1774.533,0.019,0.114,0.504
1.56E+12,2019-06-26T11:48:10.565,1774.543,-0.007,-0.091,0.203
1.56E+12,2019-06-26T11:48:10.574,1774.552,-0.003,-0.009,0.209
1.56E+12,2019-06-26T11:48:10.584,1774.562,0.042,0.049,0.362
1.56E+12,2019-06-26T11:48:10.594,1774.572,-0.005,0.024,0.36
1.56E+12,2019-06-26T11:48:10.604,1774.582,-0.008,-0.098,0.28
1.56E+12,2019-06-26T11:48:10.613,1774.591,0.027,0.151,0.408
1.56E+12,2019-06-26T11:48:10.625,1774.603,0.034,0.099,0.27
1.56E+12,2019-06-26T11:48:10.634,1774.612,-0.018,0.063,0.205
1.56E+12,2019-06-26T11:48:10.644,1774.622,0.002,-0.035,0.169
1.56E+12,2019-06-26T11:48:10.653,1774.631,0.051,0.128,0.277
1.56E+12,2019-06-26T11:48:10.663,1774.641,0.002,-0.101,0.248
1.56E+12,2019-06-26T11:48:10.673,1774.651,-0.004,-0.052,0.237
1.56E+12,2019-06-26T11:48:10.684,1774.662,0.034,-0.088,0.245
1.56E+12,2019-06-26T11:48:10.692,1774.67,0.033,0.059,0.295
1.56E+12,2019-06-26T11:48:10.703,1774.681,-0.059,-0.127,0.042
1.56E+12,2019-06-26T11:48:10.713,1774.691,0.026,-0.052,0.188
1.56E+12,2019-06-26T11:48:10.723,1774.701,0.041,-0.081,0.38
1.56E+12,2019-06-26T11:48:10.732,1774.71,0.001,0.026,0.265
1.56E+12,2019-06-26T11:48:10.742,1774.72,-0.012,-0.1,0.156
1.56E+12,2019-06-26T11:48:10.752,1774.73,0.033,0.057,0.239
1.56E+12,2019-06-26T11:48:10.763,1774.741,0.062,0.012,0.37
1.56E+12,2019-06-26T11:48:10.771,1774.749,0.034,-0.006,0.346
1.56E+12,2019-06-26T11:48:10.782,1774.76,0.004,-0.154,0.204
1.56E+12,2019-06-26T11:48:10.792,1774.77,0.061,-0.003,0.21
1.56E+12,2019-06-26T11:48:10.802,1774.78,0.058,-0.076,0.324
1.56E+12,2019-06-26T11:48:10.811,1774.789,0,-0.098,0.202
1.56E+12,2019-06-26T11:48:10.821,1774.799,0.036,-0.118,0.185
1.56E+12,2019-06-26T11:48:10.832,1774.81,0.065,0.049,0.246
1.56E+12,2019-06-26T11:48:10.840,1774.818,0.017,-0.046,0.169
1.56E+12,2019-06-26T11:48:10.851,1774.829,-0.002,-0.01,-0.056
1.56E+12,2019-06-26T11:48:10.861,1774.839,0.063,0.036,0.062
1.56E+12,2019-06-26T11:48:10.871,1774.849,0.008,0.11,-0.086
1.56E+12,2019-06-26T11:48:10.880,1774.858,0.024,0,-0.046
1.56E+12,2019-06-26T11:48:10.890,1774.868,0.007,0.041,-0.13
1.56E+12,2019-06-26T11:48:10.900,1774.878,0.071,0.102,-0.064
1.56E+12,2019-06-26T11:48:10.911,1774.889,-0.001,0.085,-0.225
1.56E+12,2019-06-26T11:48:10.919,1774.897,0.016,-0.027,-0.195
1.56E+12,2019-06-26T11:48:10.930,1774.908,0.033,0.024,-0.286
1.56E+12,2019-06-26T11:48:10.940,1774.918,0.051,0.092,-0.103
1.56E+12,2019-06-26T11:48:10.950,1774.928,-0.009,-0.008,-0.261
1.56E+12,2019-06-26T11:48:10.959,1774.937,0.026,-0.043,-0.09
1.56E+12,2019-06-26T11:48:10.969,1774.947,0.075,0.033,0.035
1.56E+12,2019-06-26T11:48:10.979,1774.957,-0.004,0.01,0.174
1.56E+12,2019-06-26T11:48:10.990,1774.968,-0.018,-0.109,-0.04
1.56E+12,2019-06-26T11:48:10.999,1774.977,0.029,0.019,-0.044
1.56E+12,2019-06-26T11:48:11.009,1774.987,0.042,0.137,-0.027
1.56E+12,2019-06-26T11:48:11.019,1774.997,-0.004,0.031,0.152
1.56E+12,2019-06-26T11:48:11.029,1775.007,0.008,-0.123,-0.153
1.56E+12,2019-06-26T11:48:11.038,1775.016,0.053,-0.003,0.009
1.56E+12,2019-06-26T11:48:11.048,1775.026,0.047,-0.02,-0.001
1.56E+12,2019-06-26T11:48:11.059,1775.037,-0.02,-0.078,-0.062
1.56E+12,2019-06-26T11:48:11.069,1775.047,0.001,-0.094,-0.169
1.56E+12,2019-06-26T11:48:11.078,1775.056,0.071,0.11,0.104
1.56E+12,2019-06-26T11:48:11.088,1775.066,0.006,-0.027,-0.041
1.56E+12,2019-06-26T11:48:11.098,1775.076,-0.021,-0.007,-0.032
1.56E+12,2019-06-26T11:48:11.107,1775.085,0.048,-0.057,-0.025
1.56E+12,2019-06-26T11:48:11.117,1775.095,0.054,0.076,0.214
1.56E+12,2019-06-26T11:48:11.127,1775.105,-0.018,-0.106,0.115
1.56E+12,2019-06-26T11:48:11.138,1775.116,0,0.02,0.047
1.56E+12,2019-06-26T11:48:11.146,1775.124,0.031,-0.041,0.083
1.56E+12,2019-06-26T11:48:11.157,1775.135,0.014,0.085,-0.051
1.56E+12,2019-06-26T11:48:11.167,1775.145,-0.059,-0.093,-0.199
1.56E+12,2019-06-26T11:48:11.177,1775.155,0.05,-0.033,0.04
1.56E+12,2019-06-26T11:48:11.186,1775.164,0.021,-0.055,-0.062
1.56E+12,2019-06-26T11:48:11.196,1775.174,0.016,0.023,-0.176
1.56E+12,2019-06-26T11:48:11.207,1775.185,-0.022,-0.057,-0.232
1.56E+12,2019-06-26T11:48:11.217,1775.195,0.068,0.13,-0.283
1.56E+12,2019-06-26T11:48:11.226,1775.204,0.004,0.07,-0.318
1.56E+12,2019-06-26T11:48:11.236,1775.214,-0.02,0.049,-0.307
1.56E+12,2019-06-26T11:48:11.246,1775.224,0.02,-0.075,-0.337
1.56E+12,2019-06-26T11:48:11.256,1775.234,0.074,0.07,-0.242
1.56E+12,2019-06-26T11:48:11.265,1775.243,-0.05,-0.041,-0.361
1.56E+12,2019-06-26T11:48:11.275,1775.253,-0.02,-0.034,-0.498
1.56E+12,2019-06-26T11:48:11.286,1775.264,0.048,-0.031,-0.373
1.56E+12,2019-06-26T11:48:11.296,1775.274,-0.002,0.077,-0.323
1.56E+12,2019-06-26T11:48:11.305,1775.283,-0.015,-0.022,-0.444
1.56E+12,2019-06-26T11:48:11.315,1775.293,-0.025,-0.007,-0.331
1.56E+12,2019-06-26T11:48:11.325,1775.303,0.05,-0.002,-0.252
1.56E+12,2019-06-26T11:48:11.335,1775.313,0.006,0.047,-0.239
1.56E+12,2019-06-26T11:48:11.346,1775.324,-0.044,-0.065,-0.234
1.56E+12,2019-06-26T11:48:11.354,1775.332,0.009,-0.02,-0.194
1.56E+12,2019-06-26T11:48:11.365,1775.343,0.073,0.049,-0.052
1.56E+12,2019-06-26T11:48:11.374,1775.352,-0.044,-0.012,-0.155
1.56E+12,2019-06-26T11:48:11.384,1775.362,-0.034,-0.131,-0.095
1.56E+12,2019-06-26T11:48:11.394,1775.372,0.075,-0.022,-0.161
1.56E+12,2019-06-26T11:48:11.404,1775.382,-0.04,0.058,-0.461
1.56E+12,2019-06-26T11:48:11.413,1775.391,-0.045,-0.121,-0.507
1.56E+12,2019-06-26T11:48:11.423,1775.401,-0.011,-0.102,-0.092
1.56E+12,2019-06-26T11:48:11.434,1775.412,0.06,0.014,0.061
1.56E+12,2019-06-26T11:48:11.444,1775.422,-0.004,0.001,-0.001
1.56E+12,2019-06-26T11:48:11.453,1775.431,-0.045,-0.166,-0.235
1.56E+12,2019-06-26T11:48:11.463,1775.441,-0.01,-0.031,0.069
1.56E+12,2019-06-26T11:48:11.473,1775.451,0.044,-0.102,0.362
1.56E+12,2019-06-26T11:48:11.483,1775.461,0.003,-0.053,0.352
1.56E+12,2019-06-26T11:48:11.492,1775.47,-0.021,0.034,-0.134
1.56E+12,2019-06-26T11:48:11.502,1775.48,0.025,0.19,0.286
1.56E+12,2019-06-26T11:48:11.513,1775.491,-0.027,-0.171,0.052
1.56E+12,2019-06-26T11:48:11.523,1775.501,-0.036,-0.105,-0.003
1.56E+12,2019-06-26T11:48:11.532,1775.51,-0.011,-0.068,0.163
1.56E+12,2019-06-26T11:48:11.542,1775.52,0.024,0.161,0.302
1.56E+12,2019-06-26T11:48:11.552,1775.53,-0.077,0.01,-0.229
1.56E+12,2019-06-26T11:48:11.562,1775.54,-0.021,0.09,-0.24
1.56E+12,2019-06-26T11:48:11.571,1775.549,0.023,0.028,-0.078
1.56E+12,2019-06-26T11:48:11.582,1775.56,0.018,0.12,0.16
1.56E+12,2019-06-26T11:48:11.592,1775.57,-0.058,-0.063,-0.053
1.56E+12,2019-06-26T11:48:11.602,1775.58,0.011,0.007,0.023
1.56E+12,2019-06-26T11:48:11.611,1775.589,0.019,0.035,0.294
1.56E+12,2019-06-26T11:48:11.621,1775.599,-0.012,0.087,0.209
1.56E+12,2019-06-26T11:48:11.631,1775.609,-0.09,-0.161,-0.082
1.56E+12,2019-06-26T11:48:11.640,1775.618,0.045,0.03,-0.066
1.56E+12,2019-06-26T11:48:11.650,1775.628,-0.024,0.099,-0.242
1.56E+12,2019-06-26T11:48:11.661,1775.639,-0.049,0,-0.334
1.56E+12,2019-06-26T11:48:11.671,1775.649,-0.018,-0.109,-0.314
1.56E+12,2019-06-26T11:48:11.680,1775.658,-0.002,0.089,-0.204
1.56E+12,2019-06-26T11:48:11.690,1775.668,0.001,0.02,-0.117
1.56E+12,2019-06-26T11:48:11.700,1775.678,-0.032,-0.037,-0.335
1.56E+12,2019-06-26T11:48:11.710,1775.688,-0.036,-0.022,-0.423
1.56E+12,2019-06-26T11:48:11.719,1775.697,0.022,0.095,-0.279
1.56E+12,2019-06-26T11:48:11.729,1775.707,-0.017,-0.019,-0.167
1.56E+12,2019-06-26T11:48:11.740,1775.718,-0.023,-0.035,-0.145
1.56E+12,2019-06-26T11:48:11.750,1775.728,0.025,0.031,0.064
1.56E+12,2019-06-26T11:48:11.759,1775.737,-0.006,0.124,0.166
1.56E+12,2019-06-26T11:48:11.769,1775.747,-0.061,-0.035,0.119
1.56E+12,2019-06-26T11:48:11.779,1775.757,-0.023,-0.029,0.341
1.56E+12,2019-06-26T11:48:11.790,1775.768,0.042,0.093,0.645
1.56E+12,2019-06-26T11:48:11.798,1775.776,-0.037,0.024,0.744
1.56E+12,2019-06-26T11:48:11.809,1775.787,-0.016,-0.159,0.723
1.56E+12,2019-06-26T11:48:11.819,1775.797,-0.026,-0.089,0.348
1.56E+12,2019-06-26T11:48:11.829,1775.807,0.002,0.064,0.103
1.56E+12,2019-06-26T11:48:11.838,1775.816,0.012,0.018,0.223
1.56E+12,2019-06-26T11:48:11.848,1775.826,0.011,-0.079,0.582
1.56E+12,2019-06-26T11:48:11.858,1775.836,0.059,-0.074,0.429
1.56E+12,2019-06-26T11:48:11.867,1775.845,0.009,0.076,0.532
1.56E+12,2019-06-26T11:48:11.877,1775.855,-0.006,-0.042,0.408
1.56E+12,2019-06-26T11:48:11.888,1775.866,0.009,-0.023,0.263
1.56E+12,2019-06-26T11:48:11.898,1775.876,0.04,0.046,0.194
1.56E+12,2019-06-26T11:48:11.907,1775.885,-0.012,-0.034,0.33
1.56E+12,2019-06-26T11:48:11.917,1775.895,-0.012,-0.196,-0.016
1.56E+12,2019-06-26T11:48:11.927,1775.905,0.023,-0.005,0.337
1.56E+12,2019-06-26T11:48:11.937,1775.915,0.067,-0.025,0.467
1.56E+12,2019-06-26T11:48:11.946,1775.924,-0.051,-0.053,0.351
1.56E+12,2019-06-26T11:48:11.957,1775.935,-0.012,-0.083,0.193
1.56E+12,2019-06-26T11:48:11.967,1775.945,0.021,0.073,0.242
1.56E+12,2019-06-26T11:48:11.977,1775.955,0.015,-0.101,0.127
1.56E+12,2019-06-26T11:48:11.986,1775.964,-0.03,-0.081,0.2
1.56E+12,2019-06-26T11:48:11.996,1775.974,0.055,-0.052,0.093
1.56E+12,2019-06-26T11:48:12.006,1775.984,0.053,0.108,0.225
1.56E+12,2019-06-26T11:48:12.017,1775.995,-0.004,-0.095,0.207
1.56E+12,2019-06-26T11:48:12.025,1776.003,0.02,0.005,0.127
1.56E+12,2019-06-26T11:48:12.036,1776.014,0.064,0.004,0.37
1.56E+12,2019-06-26T11:48:12.046,1776.024,0.03,0.098,0.441
1.56E+12,2019-06-26T11:48:12.056,1776.034,-0.007,-0.109,0.217
1.56E+12,2019-06-26T11:48:12.065,1776.043,0.022,0.051,0.147
1.56E+12,2019-06-26T11:48:12.075,1776.053,0.047,0.091,0.428
1.56E+12,2019-06-26T11:48:12.085,1776.063,0.055,0.094,0.483
1.56E+12,2019-06-26T11:48:12.096,1776.074,-0.013,-0.076,0.339
1.56E+12,2019-06-26T11:48:12.104,1776.082,0.032,0.055,0.205
1.56E+12,2019-06-26T11:48:12.115,1776.093,0.02,-0.018,0.287
1.56E+12,2019-06-26T11:48:12.125,1776.103,-0.029,-0.059,0.152
1.56E+12,2019-06-26T11:48:12.135,1776.113,0.021,-0.146,0.191
1.56E+12,2019-06-26T11:48:12.144,1776.122,0.071,0.031,0.18
1.56E+12,2019-06-26T11:48:12.154,1776.132,-0.019,-0.078,0.125
1.56E+12,2019-06-26T11:48:12.165,1776.143,0.016,-0.104,0.031
1.56E+12,2019-06-26T11:48:12.173,1776.151,0.057,-0.124,0.131
1.56E+12,2019-06-26T11:48:12.184,1776.162,0.02,-0.001,0.051
1.56E+12,2019-06-26T11:48:12.194,1776.172,-0.027,-0.156,-0.081
1.56E+12,2019-06-26T11:48:12.204,1776.182,0.001,-0.104,-0.164
1.56E+12,2019-06-26T11:48:12.213,1776.191,0.058,-0.026,0.064
1.56E+12,2019-06-26T11:48:12.223,1776.201,0.011,-0.012,-0.005
1.56E+12,2019-06-26T11:48:12.233,1776.211,-0.008,-0.118,-0.088
1.56E+12,2019-06-26T11:48:12.244,1776.222,0.005,-0.013,-0.078
1.56E+12,2019-06-26T11:48:12.252,1776.23,0.074,0.054,0.158
1.56E+12,2019-06-26T11:48:12.263,1776.241,-0.021,-0.032,0.054
1.56E+12,2019-06-26T11:48:12.273,1776.251,0.023,-0.075,0.189
1.56E+12,2019-06-26T11:48:12.283,1776.261,0.056,0.076,0.254
1.56E+12,2019-06-26T11:48:12.292,1776.27,0.041,-0.018,0.182
1.56E+12,2019-06-26T11:48:12.302,1776.28,-0.014,-0.033,-0.018
1.56E+12,2019-06-26T11:48:12.312,1776.29,0.049,0.08,0.255
1.56E+12,2019-06-26T11:48:12.323,1776.301,0.067,0.16,0.322
1.56E+12,2019-06-26T11:48:12.332,1776.31,0.039,0.029,0.445
1.56E+12,2019-06-26T11:48:12.342,1776.32,0.015,-0.027,0.223
1.56E+12,2019-06-26T11:48:12.352,1776.33,0.044,0.004,0.374
1.56E+12,2019-06-26T11:48:12.361,1776.339,0.056,0.079,0.505
1.56E+12,2019-06-26T11:48:12.371,1776.349,-0.003,-0.028,0.121
1.56E+12,2019-06-26T11:48:12.381,1776.359,0.019,-0.109,-0.083
1.56E+12,2019-06-26T11:48:12.392,1776.37,0.093,0.047,0.343
1.56E+12,2019-06-26T11:48:12.400,1776.378,0.025,-0.028,0.084
